dataset,model,Recall@10,Recall@20,Precision@10,Precision@20,NDCG@10,NDCG@20,F1@10,F1@20,MRR@10,MRR@20,HitRatio@10,HitRatio@20,val_Recall@10,val_Recall@20,val_Precision@10,val_Precision@20,val_NDCG@10,val_NDCG@20,val_F1@10,val_F1@20,val_MRR@10,val_MRR@20,val_HitRatio@10,val_HitRatio@20,infer_total_s,infer_ms_per_user,train_seconds,best_val_NDCG@10,device,is_real_data,seed,git_commit,epochs,n_layers
amazon_video_games,LightGCN,0.005649255486993781,0.008774151121445622,0.001447458399817643,0.001099840437656713,0.0038565850010409365,0.004826759914526925,0.0023044644148783734,0.001954663653845418,0.005488483289372279,0.005938062672761518,0.013790745384089354,0.02005926601322088,0.013927150846000214,0.019960666697508584,0.004261678104936905,0.003116006198804516,0.010467654962922505,0.012391683105194123,0.006526317223022172,0.005390513740102002,0.01665296182674974,0.01774369101844477,0.03769094531768873,0.053187956608368385,0.01960918607073836,0.0022349197709982177,100.40329569901223,0.010467654962922505,cuda,True,42,not-a-git-repo,50,3
amazon_video_games,NGCF,0.004066396546165438,0.006675599172613994,0.0009345794392523364,0.0007750170959653521,0.0025542011757105237,0.003350852242955845,0.0015198515709630848,0.0013887988048469193,0.003364965391977017,0.003715348340374187,0.009231821290175518,0.014360610895828584,0.01137475224926807,0.017975550354201883,0.0031547487270312154,0.002609586008412663,0.007992290172445694,0.010140423901227677,0.004939534432353753,0.004557535483032824,0.011561635760495624,0.012724495907087933,0.0288908567633385,0.04555014390081913,0.030072658002609387,0.003427474128403167,168.5498174589884,0.007992290172445694,cuda,True,42,not-a-git-repo,50,3
amazon_video_games,Sheaf4Rec-official,0.004737435128812763,0.007002666551513023,0.0011625256439480281,0.0008718942329610213,0.0027651528176137184,0.0034504503946417007,0.0018669242172632188,0.0015507111440809203,0.0035140802008821154,0.003862456082448341,0.01139731023478459,0.0166400729427855,0.010691488782428234,0.015246011957720969,0.003088332964356874,0.002219393402700908,0.007095735574469201,0.008540042938925,0.00479235186805349,0.0038747338132949856,0.010324751995108426,0.011097934992130108,0.029499667921186627,0.040735001106929375,0.09965568603365682,0.011358067703858768,423.7455047479889,0.007095735574469201,cuda,True,42,not-a-git-repo,50,3
amazon_video_games,NCL,0.009274878925503625,0.013682395686280015,0.0031912468657396852,0.0021711875997264644,0.0070272831418419415,0.008343717068141554,0.004748616979610392,0.0037476761326032367,0.0114392812819984,0.012073171126905036,0.028037383177570093,0.037497150672441304,0.020389702979240632,0.02928773990114569,0.007294664600398495,0.005141686960371928,0.01565984207686691,0.018561662953144903,0.010745128571742882,0.008747655948743122,0.026051868426508674,0.027527976801890675,0.06148992694266106,0.08285366393624087,0.018105822935467586,0.002063576810516023,72.95673826200073,0.01565984207686691,cuda,True,42,not-a-git-repo,50,3
amazon_video_games,DirectAU,0.004712309906581117,0.007956979089532985,0.0012423068155915204,0.001002963300661044,0.0031756152201948325,0.004123988519677766,0.0019662507218396377,0.0017813860097277009,0.004752497458218909,0.005208158136927241,0.011625256439480283,0.01834966947800319,0.012128370709219922,0.01896602094706659,0.0038797874695594417,0.0030163825547930042,0.009319213220424605,0.011483578423891548,0.005878939997754474,0.00520496084185979,0.014846580466737652,0.01605815025458935,0.035145007748505645,0.052800531326101394,0.01780492495163344,0.002029282533808233,228.00882099202136,0.009319213220424605,cuda,True,42,not-a-git-repo,50,3
amazon_video_games,LightGCN,0.005495654821102477,0.008497773722469154,0.0015158422612263508,0.0011397310234784591,0.0038340169471286784,0.004768003274398884,0.002376253097768539,0.0020098929333488644,0.005888474605707339,0.006337196705763842,0.014360610895828584,0.020857077729655803,0.014124047742329914,0.02043352698659104,0.004394509630285588,0.0031934912552579148,0.010410770646908015,0.012412734266943733,0.006703358428347801,0.005523700796927015,0.016437352189787435,0.017533992200958103,0.03918529997786141,0.05468231126854107,0.019025681976927444,0.002168415999193919,81.81853580099414,0.010410770646908015,cuda,True,43,not-a-git-repo,50,3
amazon_video_games,NGCF,0.0039026737079967105,0.006560544723732329,0.0008547982676088443,0.0007864144062001368,0.0026622559357536014,0.003485477674745463,0.0014024249608800062,0.0014044740938448164,0.0035052608536766277,0.0039158304070299535,0.008206063369044905,0.01447458399817643,0.011253660051010939,0.01809462226770114,0.003237768430374142,0.0026261899490812486,0.007975640461437587,0.01013934152690778,0.005028730643929351,0.0045866845985285,0.011716979242438617,0.012886704375274215,0.029222935576710206,0.04632499446535311,0.03027841800940223,0.003450925234716461,169.69326003501192,0.007975640461437587,cuda,True,43,not-a-git-repo,50,3
amazon_video_games,Sheaf4Rec-official,0.004107175238376736,0.006424430963428221,0.0010485525416001824,0.0007921130613175291,0.0028705107226978037,0.0035503711241808397,0.0016706037319202843,0.0014103359337140717,0.003909277410531114,0.004255284733430126,0.010143606108958286,0.015386368816959197,0.010406904768433645,0.014544671766315399,0.002955501439008191,0.0021170024352446313,0.007785810945156934,0.009098473479016806,0.004603605300009097,0.003696039806880939,0.01259386936827716,0.01333417013701582,0.027949966792118662,0.03879787469559442,0.09900672998628579,0.011284104169852495,462.1473588400113,0.007785810945156934,cuda,True,43,not-a-git-repo,50,3
amazon_video_games,NCL,0.008292196607663463,0.011987785146404018,0.00250740825165261,0.0017779803966263962,0.005364730795875133,0.0065526451486982535,0.003850496841177553,0.0030966744163482725,0.007626835781041389,0.008242200629176714,0.023478459083656256,0.03225438796444039,0.018336198273273627,0.027271299546788624,0.0061434580473765776,0.004519039185299978,0.013928516853463545,0.016840878968791242,0.009203369799371705,0.007753303437537456,0.02309996890055557,0.024618294034445765,0.053520035421740095,0.07543723710427275,0.01791037298971787,0.0020413007738452095,72.76509181401343,0.013928516853463545,cuda,True,43,not-a-git-repo,50,3
amazon_video_games,DirectAU,0.004966516292593338,0.007452093071333989,0.0012651014360610896,0.0009630727148392978,0.003374870775257219,0.004151956118965373,0.002016537973787853,0.0017057079296612107,0.004641690275380724,0.0050224574000007115,0.012309095053567358,0.017893777068611807,0.012470423212683638,0.0187462823779816,0.0037746291786584017,0.00283650653088333,0.009187371997458725,0.011153931824160752,0.005795145770524173,0.004927440343271595,0.014109440174859702,0.015117921508890079,0.03403807837059995,0.0488709320345362,0.01751860702643171,0.0019966499916151937,279.4612900989887,0.009187371997458725,cuda,True,43,not-a-git-repo,50,3
amazon_video_games,LightGCN,0.0051435232369032,0.008000009062958207,0.0014018691588785048,0.0010542511967175747,0.0032253758413122863,0.004132753188541408,0.002203243490317402,0.001862994631585097,0.004448614412712885,0.00485803656687534,0.013334852974697971,0.019033508092090267,0.014271480653579829,0.020619825389902247,0.004488598627407571,0.003257139694487492,0.010591164297552415,0.012595757075023478,0.006829283342917782,0.005625643923629182,0.01672550523419463,0.017799374736896113,0.03962807172902369,0.05512508301970334,0.01910128997405991,0.002177033277189413,78.16462443899945,0.010591164297552415,cuda,True,44,not-a-git-repo,50,3
amazon_video_games,NGCF,0.0015281253885443297,0.003528997160397209,0.0003419193070435377,0.0004217004786870299,0.0010172115198672364,0.0016424404092751851,0.0005588054394202192,0.000753375696030045,0.0014301815247792,0.0017768129364513206,0.0033052199680875314,0.00809209026669706,0.007742160587581488,0.012597323646499048,0.002075492583573168,0.0017600177108700464,0.0050742059490124355,0.006594184400083226,0.0032734496931649108,0.003088526235537409,0.0070882134862652905,0.007911772165464872,0.019205224706663714,0.031436794332521584,0.0301275129604619,0.0034337261181287783,67.04865372099448,0.0050742059490124355,cuda,True,44,not-a-git-repo,50,3
amazon_video_games,Sheaf4Rec-official,0.004553222575669278,0.007139719671512168,0.0010371552313653977,0.0008434009573740598,0.0023877459362143705,0.0031773648061590373,0.0016894738698998023,0.001508594617635356,0.002444723045361295,0.002853063324721425,0.009687713699566902,0.015728288124002735,0.010767808400229041,0.016288489420557963,0.003226699136595085,0.0023688288687181754,0.008059071526625636,0.009781812211596812,0.004965444904240648,0.0041361404001352105,0.012844751397717968,0.013744863446832135,0.03010847907903476,0.04328093867611246,0.09922083705896512,0.011308506617160374,461.68045034102397,0.008059071526625636,cuda,True,44,not-a-git-repo,50,3
amazon_video_games,NCL,0.007222849588311859,0.0124893271208596,0.0023820378390699793,0.0018463642580351036,0.005267638120933861,0.006915693839749734,0.003582572134311781,0.0032171238335686842,0.008151700008321846,0.008933075767498432,0.022110781855482105,0.03316617278322316,0.018171911553129826,0.02601852567034147,0.0060715076378127075,0.004364069072393181,0.013866851939058147,0.01645402354568983,0.009101925674717112,0.007474453327549157,0.02352455538336654,0.024865706780948203,0.05495904361301749,0.0745516936019482,0.017787255957955495,0.0020272687437833934,72.45654783799546,0.013866851939058147,cuda,True,44,not-a-git-repo,50,3
amazon_video_games,DirectAU,0.004939165015897428,0.006997617246381117,0.0012423068155915204,0.0009003875085479827,0.003439913973903259,0.0040861777702124735,0.001985274229132122,0.0015954832527314802,0.004859369855380797,0.005203907210702723,0.011283337132436745,0.01618418053339412,0.011962778442273343,0.018108999022311945,0.0036473323001992475,0.0028503431481071506,0.008662964485094137,0.010652474251874702,0.005590252232345099,0.004925427607663684,0.013358836634794128,0.014506877307845152,0.03287580252379898,0.04964578259907018,0.017561245942488313,0.0020015096811589143,279.3746801689849,0.008662964485094137,cuda,True,44,not-a-git-repo,50,3
